역명,지하철노선수,역검색어,역위도,역경도
회기,3,회기역,37.5897962196601,127.058048369273
청량리,4,청량리역,37.57997010526071,127.04773632414528
외대앞,1,외대앞역,37.596274142656114,127.06369251145765
석계,2,석계역,37.61500552731744,127.06568946412851
신설동,3,신설동역,37.5760299683175,127.024456700382
성신여대입구,2,성신여대입구역,37.59296812939267,127.0171260607647
한성대입구,1,한성대입구역,37.58842461354086,127.00601781685579
길음,1,길음역,37.603394782316634,127.02506019737066
미아사거리,1,미아사거리역,37.61327836400571,127.03008663628454
보문,2,보문역,37.585541696968,127.020003515933
상월곡,1,상월곡역,37.6065588265169,127.048829192974
돌곶이,1,돌곶이역,37.61054501416126,127.0564381246322
안암,1,안암역,37.586307417971,127.029233420248
고려대,1,고려대역,37.59044191064368,127.03630828564728
월곡,1,월곡역,37.6018044172918,127.041460725816
