사업장명,법정동,지번주소,의료기관종별명,경도,위도,년도,월,인허가일자
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),안암동5가,서울특별시 성북구 안암동5가 126번지 1호 고려대병원,종합병원,127.02409518287466,37.587144873623814,2016,1,2016-01-28
사회복지법인 성가소비녀회 성가복지병원,하월곡동,서울특별시 성북구 하월곡동 88번지 526호,병원,127.02785879307463,37.60687418848908,1985,12,1985-12-02
의료법인 우신향병원,,,병원,,,1988,3,1988-03-29
의료법인유라의료재단 온누리요양병원,,,요양병원(일반요양병원),127.05583214209972,37.61219986114997,2005,12,2005-12-07
서울척병원,,,병원,127.0263595316733,37.608839070489054,2006,6,2006-06-08
보문효사랑요양병원,,,요양병원(일반요양병원),127.01987255002427,37.579746556087244,2006,9,2006-09-11
의료법인참예원의료재단 성북참요양병원,,,요양병원(일반요양병원),127.00243148960406,37.59760666102789,2011,4,2011-04-26
동서요양병원,,,요양병원(일반요양병원),,,2011,6,2011-06-28
성북웰니스요양병원,보문동4가,서울특별시 성북구 보문동4가 18번지,요양병원(일반요양병원),127.0180892745504,37.58301166815107,2014,10,2014-10-22
새마음요양병원,정릉동,서울특별시 성북구 정릉동 16번지 486호 외2필지,요양병원(일반요양병원),127.01871054966585,37.60136179323827,2015,3,2015-03-13
더서울병원,동선동4가,서울특별시 성북구 동선동4가 53,병원,127.01362985813155,37.59423693358896,2017,3,2017-03-31
성북서울요양병원,,,요양병원(일반요양병원),127.0329151319242,37.59311814846231,2018,1,2018-01-24
성북우리아이들병원,,,병원,127.02641817238496,37.606915604323646,2018,2,2018-02-23
성북미올한방병원,,,한방병원,127.01428654769644,37.59260509728433,2021,11,2021-11-29
한마음한방병원,,,한방병원,127.02983034060422,37.60143995439911,2022,2,2022-02-28
플러스요양병원,정릉동,서울특별시 성북구 정릉동 674-3 그린존,요양병원(일반요양병원),127.00106241076239,37.60830749410817,2022,6,2022-06-27
