공원명,공원구분,법정동,소재지지번주소,경도,위도,년도,월,공원면적
삼청,근린공원,성북동,서울특별시 성북구 성북동 산25-1,126.9864035,37.59555894,2020,6,73.6
북한산,근린공원,정릉동,서울특별시 성북구 정릉동 산1-1,127.0054953,37.61906876,2020,6,93472.9
북악산,근린공원,성북동,서울특별시 성북구 성북동 산 25-1,126.9864035,37.59555894,2020,6,87616.5
상길례,문화공원,장위동,서울특별시 성북구 장위동 319-2,127.0453689,37.61972141,2008,4,4090.2
도란도란,소공원,석관동,서울특별시 성북구 석관동 410-4,127.0653636,37.60567055,2007,8,426.0
돌이음,소공원,석관동,서울특별시 성북구 석관동 410-3,127.0652173,37.6069043,2007,8,1103.4
별빛누리,소공원,길음동,서울특별시 성북구 길음동 1287-3,127.0161349,37.60760199,2006,10,949.0
맑은소리,소공원,길음동,서울특별시 성북구 길음동 1288-11,127.0270613,37.61025298,2009,1,2549.1
향기,어린이공원,상월곡동,서울특별시 성북구 상월곡동 101-6,127.0447354,37.609121559,1983,12,1000.0
햇살,어린이공원,상월곡동,서울특별시 성북구 상월곡동 97-37,127.0485162,37.60591304,1983,12,300.0
밤골,어린이공원,하월곡동,서울특별시 성북구 하월곡동 산2-140,127.039921,37.607541,1984,2,600.0
동산,어린이공원,하월곡동,서울특별시 성북구 하월곡동 96-78,127.034528,37.60459386,1983,12,417.0
배밭골,어린이공원,정릉동,서울특별시 성북구 정릉동 895,126.9986863,37.60812583,1983,12,263.0
꿈나라,어린이공원,보문동7가,서울특별시 성북구 보문동7가 108-2,127.023018,37.58029718,1940,3,1564.0
범바위,어린이공원,안암동2가,서울특별시 성북구 안암동2가 140-3,127.0214092,37.58549036,1940,3,1514.0
삼선,어린이공원,삼선동1가,서울특별시 성북구 삼선동1가 303,127.01039,37.58323585,1978,5,10957.0
숭인,근린공원,보문동6가,서울특별시 성북구 보문동6가 458-4,127.0178911,37.58287311,1977,7,5332.6
아름드리,근린공원,하월곡동,서울특별시 성북구 하월곡동 225-2,127.037977,37.60992341,1999,11,3782.0
모랫말,근린공원,하월곡동,서울특별시 성북구 하월곡동 90-206,127.032787,37.604825,1997,12,1740.0
청량,근린공원,석관동,서울특별시 성북구 석관동 409,127.0539954,37.60635811,1940,3,329290.0
